data_loader,model,workers,dl_only,sequence,seed,epoch,batch_size,batches_cnt,chan_cnt,epoch_time,batch_time,data_time,train_time,data_path
HDF5 - ,mobilenet_v2,0,False,False,1234,0,32,5,3,35.05406713485718,7.0107532978057865,3.6402488708496095,3.3705044269561766,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
validate - HDF5 - ,mobilenet_v2,0,False,False,1234,0,32,3,3,1.5193760395050049,0.5064066251118978,0.20371619860331217,0.30269042650858563,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
HDF5 - ,mobilenet_v2,0,False,False,1234,1,32,5,3,16.43400502204895,3.282215404510498,3.0790968894958497,0.20311851501464845,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
validate - HDF5 - ,mobilenet_v2,0,False,False,1234,1,32,3,3,0.6821367740631104,0.19070013364156088,0.18439722061157227,0.0063029130299886065,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
HDF5 - ,mobilenet_v2,0,False,False,1234,2,32,5,3,16.99019503593445,3.393443155288696,3.180505323410034,0.2129378318786621,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
validate - HDF5 - ,mobilenet_v2,0,False,False,1234,2,32,3,3,1.2125468254089355,0.36969176928202313,0.3633120059967041,0.006379763285319011,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
HDF5 - ,mobilenet_v2,0,False,False,1234,3,32,5,3,16.883740425109863,3.3722971439361573,3.1839858531951903,0.1883112907409668,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
validate - HDF5 - ,mobilenet_v2,0,False,False,1234,3,32,3,3,0.6928963661193848,0.19433204332987467,0.1879427433013916,0.006389300028483073,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
HDF5 - ,mobilenet_v2,0,False,False,1234,4,32,5,3,16.324642181396484,3.2608072757720947,3.0543946266174316,0.2064126491546631,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
validate - HDF5 - ,mobilenet_v2,0,False,False,1234,4,32,3,3,0.9652180671691895,0.2852693398793538,0.27891238530476886,0.006356954574584961,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
