data_loader,workers,sequence,seed,epoch,batch_size,batches_cnt,batch_time,data_time,train_time,data_path
Benzina - 8c65e122ca48a98b28d29b0f7c0f35288dc49086,1,False,1234,0,128,100,0.2580833411216736,0.21567589521408081,0.042407445907592774,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_benzina/ilsvrc2012.bzna
Benzina - 8c65e122ca48a98b28d29b0f7c0f35288dc49086,1,True,1234,0,128,100,0.24913992643356322,0.21552794218063354,0.03361198425292969,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_benzina/ilsvrc2012.bzna
Benzina - 8c65e122ca48a98b28d29b0f7c0f35288dc49086,1,False,1234,0,256,100,0.48839285612106326,0.44931931257247926,0.039073543548583986,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_benzina/ilsvrc2012.bzna
Benzina - 8c65e122ca48a98b28d29b0f7c0f35288dc49086,1,True,1234,0,256,100,0.48909855842590333,0.4497947120666504,0.03930384635925293,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_benzina/ilsvrc2012.bzna
data_loader,model,workers,sequence,seed,epoch,batch_size,batches_cnt,batch_time,data_time,train_time,data_path
Benzina - 8c65e122ca48a98b28d29b0f7c0f35288dc49086,resnet50,1,False,1234,0,128,100,0.5246649813652039,0.2851642799377441,0.23950070142745972,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_benzina/ilsvrc2012.bzna
Benzina - 8c65e122ca48a98b28d29b0f7c0f35288dc49086,resnet50,1,True,1234,0,128,100,0.5173118162155151,0.28427457571029663,0.2330372405052185,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_benzina/ilsvrc2012.bzna
data_loader,model,workers,sequence,seed,epoch,batch_size,batches_cnt,epoch_time,batch_time,data_time,train_time,data_path
Benzina - 8c65e122ca48a98b28d29b0f7c0f35288dc49086,resnet18,1,False,1234,0,128,1001,262.18910360336304,0.26182705824906294,0.2446209367338594,0.017206121515203548,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_benzina/ilsvrc2012.bzna
Benzina - 8c65e122ca48a98b28d29b0f7c0f35288dc49086,resnet18,1,True,1234,0,128,1001,398.0125513076782,0.39751449093356594,0.3668679316917976,0.030646559241768363,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_benzina/ilsvrc2012.bzna
Benzina - 8c65e122ca48a98b28d29b0f7c0f35288dc49086,resnet50,1,False,1234,0,128,1001,716.5009431838989,0.7156094256695453,0.4475926883689888,0.2680167373005565,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_benzina/ilsvrc2012.bzna
Benzina - 8c65e122ca48a98b28d29b0f7c0f35288dc49086,resnet50,1,True,1234,0,128,1001,756.7780067920685,0.7558473059228369,0.47872481312785115,0.2771224927949858,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_benzina/ilsvrc2012.bzna
Benzina - 8c65e122ca48a98b28d29b0f7c0f35288dc49086,resnet18,1,False,1234,0,256,1001,768.6537942886353,0.7675538906207928,0.7406461512768543,0.026907739343938534,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_benzina/ilsvrc2012.bzna
Benzina - 8c65e122ca48a98b28d29b0f7c0f35288dc49086,resnet18,1,True,1234,0,256,1001,770.4138419628143,0.7694436424857491,0.7439303581531231,0.025513284332625993,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_benzina/ilsvrc2012.bzna
Benzina - 8c65e122ca48a98b28d29b0f7c0f35288dc49086,resnet18,1,False,1234,0,128,9999,2358.2366921901703,0.23583936614982604,0.22248505432494392,0.013354311824882134,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_benzina/ilsvrc2012.bzna
Benzina - 8c65e122ca48a98b28d29b0f7c0f35288dc49086,resnet50,1,False,1234,0,128,9999,4894.722403526306,0.48951316814516077,0.29354258246011217,0.1959705856850486,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_benzina/ilsvrc2012.bzna
Benzina - 8c65e122ca48a98b28d29b0f7c0f35288dc49086,resnet18,1,False,1234,0,256,4995,2375.1233220100403,0.47548819275589677,0.4613828649988642,0.014105327757032545,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_benzina/ilsvrc2012.bzna
