data_loader,workers,sequence,seed,epoch,batch_size,batches_cnt,batch_time,data_time,train_time,data_path
DALI - nvidia-dali-cuda100==0.24.0,1,False,1234,0,128,100,0.220925452709198,0.18321170568466186,0.037713747024536136,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,1,True,1234,0,128,100,0.22679758071899414,0.18956616640090942,0.037231414318084716,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,1,False,1234,0,256,100,0.44516132831573485,0.4022962546348572,0.042865073680877684,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,1,True,1234,0,256,100,0.4701249313354492,0.4253068518638611,0.04481807947158813,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,2,False,1234,0,128,100,0.13535434484481812,0.09583985567092895,0.03951448917388916,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,2,True,1234,0,128,100,0.14040536403656007,0.10278788805007935,0.037617475986480714,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,2,False,1234,0,256,100,0.27801677227020266,0.23109079360961915,0.0469259786605835,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,2,True,1234,0,256,100,0.2824694657325745,0.2381431293487549,0.04432633638381958,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,4,False,1234,0,128,100,0.13091999530792237,0.09022388696670532,0.04069610834121704,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,4,True,1234,0,128,100,0.1304797101020813,0.08742313623428345,0.04305657386779785,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,4,False,1234,0,256,100,0.24303805351257324,0.1939076542854309,0.04913039922714233,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,4,True,1234,0,256,100,0.2415395951271057,0.18804100275039673,0.05349859237670898,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,6,False,1234,0,128,100,0.13197538137435913,0.08299034357070922,0.048985037803649906,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,6,True,1234,0,128,100,0.1312169623374939,0.08180047988891602,0.04941648244857788,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,6,False,1234,0,256,100,0.24522019386291505,0.1848045778274536,0.060415616035461424,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,6,True,1234,0,256,100,0.2422110080718994,0.1870069146156311,0.05520409345626831,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision/train
data_loader,model,workers,sequence,seed,epoch,batch_size,batches_cnt,batch_time,data_time,train_time,data_path
DALI - nvidia-dali-cuda100==0.24.0,resnet50,1,False,1234,0,128,100,0.4044941830635071,0.16824585914611817,0.23624832391738892,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,resnet50,1,True,1234,0,128,100,0.3987222957611084,0.1674589419364929,0.2312633538246155,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,resnet50,2,False,1234,0,128,100,0.4015001726150513,0.16496042728424073,0.23653974533081054,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,resnet50,2,True,1234,0,128,100,0.397451274394989,0.15081015825271607,0.24664111614227294,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,resnet50,4,False,1234,0,128,100,0.40274630308151244,0.15889742851257324,0.24384887456893922,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,resnet50,4,True,1234,0,128,100,0.3984237217903137,0.14649486064910888,0.25192886114120483,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,resnet50,6,False,1234,0,128,100,0.4017776560783386,0.1533598756790161,0.2484177803993225,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,resnet50,6,True,1234,0,128,100,0.39809412479400635,0.15456552028656007,0.2435286045074463,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision/train
data_loader,model,workers,sequence,seed,epoch,batch_size,batches_cnt,epoch_time,batch_time,data_time,train_time,data_path
DALI - nvidia-dali-cuda100==0.24.0,resnet18,1,False,1234,0,128,1001,221.8065345287323,0.2214845598756255,0.1864678578657823,0.035016702009843186,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,resnet18,1,True,1234,0,128,1001,244.37899208068848,0.24403609929384884,0.20963027713062998,0.034405822163218865,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,resnet50,1,False,1234,0,128,1001,384.4495151042938,0.3838890954092904,0.1701504293378893,0.21373866607140113,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,resnet50,1,True,1234,0,128,1001,385.5521430969238,0.3849939023340856,0.16853503961782237,0.21645886271626322,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,resnet18,1,False,1234,0,256,1001,435.49582386016846,0.43485403394365646,0.4073504701360956,0.027503563807560846,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,resnet18,1,True,1234,0,256,1001,453.56231355667114,0.4529096258508337,0.4252615384645872,0.027648087386246564,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,resnet18,2,False,1234,0,128,1001,114.89784955978394,0.11468060200030987,0.09435201858307098,0.02032858341723889,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,resnet50,2,False,1234,0,128,1001,370.73704195022583,0.3701918727748997,0.16985438896583152,0.20033748380906813,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,resnet18,2,False,1234,0,256,1001,246.13038182258606,0.2456799282298817,0.22477484082842206,0.020905087401459625,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,resnet18,4,False,1234,0,128,1001,115.6294584274292,0.11540624573752359,0.09307050752592134,0.02233573821160224,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,resnet50,4,False,1234,0,128,1001,370.60043120384216,0.3700539567968348,0.16777177600117474,0.20228218079566002,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,resnet18,4,False,1234,0,256,1001,223.14024329185486,0.22270665921412267,0.20060469530202768,0.022101963912094985,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,resnet18,6,False,1234,0,128,1001,115.23709321022034,0.11503099371026922,0.08750033783507752,0.0275306558751917,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,resnet50,6,False,1234,0,128,1001,370.3368456363678,0.369792257274662,0.16822707426774275,0.20156518300691922,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,resnet18,6,False,1234,0,256,1001,222.76373171806335,0.22232558534338281,0.1950958508711595,0.027229734472223332,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,resnet18,2,False,1234,0,128,10000,1137.2285628318787,0.1136815277814865,0.09577942326068878,0.01790210452079773,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,resnet50,2,False,1234,0,128,10000,3670.1801867485046,0.3669693146944046,0.1710195821762085,0.1959497325181961,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,resnet18,2,False,1234,0,256,4995,1218.687083721161,0.24387666498934543,0.2248248682127104,0.019051796776635033,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,resnet18,4,False,1234,0,128,10000,1133.8050498962402,0.11333782730102539,0.09429567496776581,0.019042152333259583,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,resnet50,4,False,1234,0,128,10000,3678.3841955661774,0.3677881420612335,0.17022806897163392,0.1975600730895996,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision/train
DALI - nvidia-dali-cuda100==0.24.0,resnet18,4,False,1234,0,256,4995,1103.013305425644,0.22068758182697468,0.20186009569330376,0.0188274861336709,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision/train
