data_loader,workers,sequence,seed,epoch,batch_size,batches_cnt,batch_time,data_time,train_time,data_path
PyTorch - torch==1.4.1 torchvision==0.5.0,1,False,1234,0,128,100,0.8171310877799988,0.7781945729255676,0.03893651485443115,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,1,True,1234,0,128,100,0.7760098242759704,0.7385072898864746,0.03750253438949585,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,1,False,1234,0,256,100,1.6178032326698304,1.5727183055877685,0.04508492708206177,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,1,True,1234,0,256,100,1.5183260440826416,1.4743007278442384,0.04402531623840332,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,2,False,1234,0,128,100,0.6667234230041504,0.612848904132843,0.05387451887130737,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,2,True,1234,0,128,100,0.41954435348510744,0.3684797263145447,0.051064627170562746,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,2,False,1234,0,256,100,0.887341046333313,0.8139571785926819,0.0733838677406311,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,2,True,1234,0,256,100,0.7954219555854798,0.7446771860122681,0.05074476957321167,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,4,False,1234,0,128,100,0.35752746820449827,0.2677459979057312,0.0897814702987671,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,4,True,1234,0,128,100,0.29953689098358155,0.20348775148391723,0.0960491394996643,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,4,False,1234,0,256,100,0.6481097745895386,0.49408639907836915,0.15402337551116943,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,4,True,1234,0,256,100,0.5590590929985046,0.38767677545547485,0.1713823175430298,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,6,False,1234,0,128,100,0.3522826862335205,0.23683131694793702,0.1154513692855835,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,6,True,1234,0,128,100,0.2672367858886719,0.1625224208831787,0.10471436500549317,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,6,False,1234,0,256,100,0.6003822469711304,0.41137033462524414,0.18901191234588624,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,6,True,1234,0,256,100,0.47547595262527464,0.3031619954109192,0.17231395721435547,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision
data_loader,model,workers,sequence,seed,epoch,batch_size,batches_cnt,batch_time,data_time,train_time,data_path
PyTorch - torch==1.4.1 torchvision==0.5.0,resnet50,1,False,1234,0,128,100,0.8857295060157776,0.6419903779029846,0.24373912811279297,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,resnet50,1,True,1234,0,128,100,0.8376960492134095,0.5969179034233093,0.2407781457901001,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,resnet50,2,False,1234,0,128,100,0.5014802193641663,0.17875173807144165,0.32272848129272463,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,resnet50,2,True,1234,0,128,100,0.4618361902236938,0.1284044313430786,0.3334317588806152,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,resnet50,4,False,1234,0,128,100,0.49185140371322633,0.10432112932205201,0.3875302743911743,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,resnet50,4,True,1234,0,128,100,0.4072129702568054,0.0002929544448852539,0.40692001581192017,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,resnet50,6,False,1234,0,128,100,0.43239872217178343,0.023352208137512206,0.4090465140342712,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,resnet50,6,True,1234,0,128,100,0.4120950984954834,0.00029507637023925784,0.41180002212524414,/Tmp/slurm.574364.0/localscratch/datasets/imagenet_torchvision
data_loader,model,workers,sequence,seed,epoch,batch_size,batches_cnt,epoch_time,batch_time,data_time,train_time,data_path
PyTorch - torch==1.4.1 torchvision==0.5.0,resnet18,1,False,1234,0,128,1001,799.8766181468964,0.7989719035503986,0.7817541697880367,0.017217733762361905,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,resnet18,1,True,1234,0,128,1001,820.745109796524,0.8198195980502652,0.7708881520605707,0.04893144598969451,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,resnet50,1,False,1234,0,128,1001,862.0360643863678,0.8610017816503565,0.6297063920405004,0.23129538960985607,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,resnet50,1,True,1234,0,128,1001,807.3939325809479,0.8064159377590641,0.589082033365042,0.21733390439402211,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,resnet18,1,False,1234,0,256,1001,1594.252875328064,1.5924470569942142,1.5630290998921885,0.02941795710202578,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,resnet18,1,True,1234,0,256,1001,1523.7605650424957,1.5220282616077008,1.4939131546211053,0.028115106986595556,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,resnet18,2,False,1234,0,128,1001,422.60815238952637,0.4220248195198509,0.3856785980971543,0.03634622142269656,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,resnet50,2,False,1234,0,128,1001,461.406094789505,0.46077096474158774,0.1861375978776625,0.27463336686392525,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,resnet18,2,False,1234,0,256,1001,842.0448632240295,0.8409877099714556,0.8013713514650023,0.039616358506453266,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,resnet18,4,False,1234,0,128,1001,296.8831899166107,0.29642115630112686,0.22766555201161753,0.06875560428950932,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,resnet50,4,False,1234,0,128,1001,377.6470069885254,0.3770934956652539,0.000441853221241649,0.3766516424440123,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,resnet18,4,False,1234,0,256,1001,587.3849823474884,0.5864733577846409,0.4635997456865949,0.122873612098046,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,resnet18,6,False,1234,0,128,1001,250.96107459068298,0.25054073714828873,0.16779864251196802,0.0827420946363207,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,resnet50,6,False,1234,0,128,1001,378.34843826293945,0.37779282070659137,0.00029344515843348544,0.3774993755481579,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,resnet18,6,False,1234,0,256,1001,508.3283591270447,0.5074953494610248,0.35671895391100295,0.15077639555002187,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,resnet18,2,False,1234,0,128,10000,4204.497936248779,0.420440319275856,0.3897247470855713,0.03071557219028473,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,resnet50,2,False,1234,0,128,10000,4409.77395939827,0.4409661673784256,0.16318705430030822,0.27777911307811737,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,resnet18,2,False,1234,0,256,4995,4184.0958433151245,0.8376405068226643,0.7784953423329183,0.05914516448974609,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,resnet18,4,False,1234,0,128,10000,2906.8811304569244,0.29067450950145723,0.223507093501091,0.06716741600036621,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,resnet50,4,False,1234,0,128,10000,3748.0403356552124,0.3747880177021027,0.0008245378017425537,0.3739634799003601,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision
PyTorch - torch==1.4.1 torchvision==0.5.0,resnet18,4,False,1234,0,256,4995,2938.4320266246796,0.5882519927230087,0.4587623672561722,0.12948962546683646,/Tmp/slurm.581643.0/localscratch/datasets/imagenet_torchvision
