dataloader,model,workers,sequence,seed,epoch,batch_size,batches_cnt,epoch_time,batch_time,data_time,train_time,data_path
benzina - 0661f8b8cd7eeb87ddde7f42dd43fbd0c34c2306,resnet18,1,False,1234,0,256,5005,3068.654570579529,0.6121743435149902,0.5941150532378541,0.018059290277136195,/Tmp/slurm.658929.0/localscratch/datasets/imagenet_benzina/ilsvrc2012.mp4
benzina - 0661f8b8cd7eeb87ddde7f42dd43fbd0c34c2306,resnet18,1,False,1234,1,256,5005,3050.4813841581345,0.6047044627316348,0.5885007102291782,0.01620375250245665,/Tmp/slurm.658929.0/localscratch/datasets/imagenet_benzina/ilsvrc2012.mp4
benzina - 0661f8b8cd7eeb87ddde7f42dd43fbd0c34c2306,resnet50,1,False,1234,0,256,5005,6276.021873474121,1.2528637056703216,0.7541176735938012,0.4987460320765203,/Tmp/slurm.658929.0/localscratch/datasets/imagenet_benzina/ilsvrc2012.mp4
benzina - 0661f8b8cd7eeb87ddde7f42dd43fbd0c34c2306,resnet50,1,False,1234,1,256,5005,6275.195601582527,1.2524304109853464,0.7545339490507509,0.4978964619345956,/Tmp/slurm.658929.0/localscratch/datasets/imagenet_benzina/ilsvrc2012.mp4
benzina - 239ad2b115a50091d7019c386a3477836718dae4,resnet18,1,False,1234,0,128,10010,3028.870640516281,0.3020998870457088,0.286202782207912,0.015897104837796786,/Tmp/slurm.658929.0/localscratch/datasets/imagenet_benzina/ilsvrc2012.mp4
benzina - 239ad2b115a50091d7019c386a3477836718dae4,resnet18,1,False,1234,1,128,10010,3020.086810231209,0.3002916628068739,0.28465334356843414,0.015638319238439783,/Tmp/slurm.658929.0/localscratch/datasets/imagenet_benzina/ilsvrc2012.mp4
benzina - 239ad2b115a50091d7019c386a3477836718dae4,resnet50,1,False,1234,0,128,10010,6324.534751176834,0.6312715444888745,0.38141773340108986,0.2498538110877846,/Tmp/slurm.658929.0/localscratch/datasets/imagenet_benzina/ilsvrc2012.mp4
benzina - 239ad2b115a50091d7019c386a3477836718dae4,resnet50,1,False,1234,1,128,10010,6320.9144476652145,0.6305306247183374,0.38123453880523467,0.2492960859131027,/Tmp/slurm.658929.0/localscratch/datasets/imagenet_benzina/ilsvrc2012.mp4
benzina - eb8dc7df5eef89e991ea754f3f2d3f3a0f87be28,resnet18,1,False,1234,0,256,5005,3029.9442789554596,0.6053631697263155,0.5887386311541547,0.016624538572160872,/Tmp/slurm.658929.0/localscratch/datasets/imagenet_benzina/ilsvrc2012.mp4
benzina - eb8dc7df5eef89e991ea754f3f2d3f3a0f87be28,resnet18,1,False,1234,1,256,5005,3027.7047716379166,0.6044405130715994,0.5885496540622158,0.01589085900938356,/Tmp/slurm.658929.0/localscratch/datasets/imagenet_benzina/ilsvrc2012.mp4
benzina - eb8dc7df5eef89e991ea754f3f2d3f3a0f87be28,resnet50,1,False,1234,0,256,5005,6266.035475254059,1.2519287997787887,0.7527625516458943,0.49916624813289434,/Tmp/slurm.658929.0/localscratch/datasets/imagenet_benzina/ilsvrc2012.mp4
benzina - eb8dc7df5eef89e991ea754f3f2d3f3a0f87be28,resnet50,1,False,1234,1,256,5005,6261.782135605812,1.2501670593981977,0.7526733377001265,0.4974937216980712,/Tmp/slurm.658929.0/localscratch/datasets/imagenet_benzina/ilsvrc2012.mp4
